country,variable,value,value2
Australia,CO2 emissions,17.77324852,26.65987278
Austria,CO2 emissions,8.147571324,12.22135699
Belgium,CO2 emissions,9.829159629,14.74373944
Canada,CO2 emissions,15.36481578,23.04722367
Denmark,CO2 emissions,7.482175978,11.22326397
Finland,CO2 emissions,10.32056288,15.48084432
France,CO2 emissions,5.190746618,7.786119927
Germany,CO2 emissions,9.139380131,13.7090702
Greece,CO2 emissions,7.519412112,11.27911817
Iceland,CO2 emissions,5.799127623,8.698691435
Ireland,CO2 emissions,7.631979941,11.44796991
Italy,CO2 emissions,6.54837368,9.82256052
Japan,CO2 emissions,9.280510802,13.9207662
Luxembourg,CO2 emissions,20.12169478,30.18254217
Netherlands,CO2 emissions,10.45164251,15.67746377
New Zealand,CO2 emissions,6.880817253,10.32122588
Norway,CO2 emissions,7.692307692,11.53846154
Portugal,CO2 emissions,4.554082572,6.831123858
Spain,CO2 emissions,5.854300849,8.781451274
Sweden,CO2 emissions,4.751718979,7.127578469
Switzerland,CO2 emissions,5.037663677,7.556495516
Turkey,CO2 emissions,3.849563484,5.774345226
United Kingdom,CO2 emissions,7.000225962,10.50033894
United States,CO2 emissions,16.96850775,25.45276163
Australia,Education,44.61,66.915
Austria,Education,21.16,31.74
Belgium,Education,42.45,63.675
Canada,Education,56.7,85.05
Denmark,Education,38.58,57.87
Finland,Education,39.37,59.055
France,Education,43.01,64.515
Germany,Education,27.67,41.505
Greece,Education,32.52,48.78
Iceland,Education,39.37,59.055
Ireland,Education,47.19,70.785
Italy,Education,20.98,31.47
Japan,Education,58.7,88.05
Luxembourg,Education,46.64,69.96
Netherlands,Education,39.9,59.85
New Zealand,Education,46.04,69.06
Norway,Education,46.8,70.2
Portugal,Education,26.92,40.38
Spain,Education,39.15,58.725
Sweden,Education,42.86,64.29
Switzerland,Education,39.8,59.7
Turkey,Education,18.87,28.305
United Kingdom,Education,46.91,70.365
United States,Education,43.13,64.695
Australia,Employment to population ratio,72.3,108.45
Austria,Employment to population ratio,72.5,108.75
Belgium,Employment to population ratio,61.8,92.7
Canada,Employment to population ratio,72.2,108.3
Denmark,Employment to population ratio,72.6,108.9
Finland,Employment to population ratio,69.5,104.25
France,Employment to population ratio,63.9,95.85
Germany,Employment to population ratio,72.8,109.2
Greece,Employment to population ratio,51.3,76.95
Iceland,Employment to population ratio,80.2,120.3
Ireland,Employment to population ratio,58.8,88.2
Italy,Employment to population ratio,57.6,86.4
Japan,Employment to population ratio,70.6,105.9
Luxembourg,Employment to population ratio,65.8,98.7
Netherlands,Employment to population ratio,75.1,112.65
New Zealand,Employment to population ratio,72.1,108.15
Norway,Employment to population ratio,75.8,113.7
Portugal,Employment to population ratio,61.8,92.7
Spain,Employment to population ratio,56.2,84.3
Sweden,Employment to population ratio,73.8,110.7
Switzerland,Employment to population ratio,79.4,119.1
Turkey,Employment to population ratio,48.9,73.35
United Kingdom,Employment to population ratio,70.9,106.35
United States,Employment to population ratio,67.1,100.65
Australia,GDP per capita,44407.02,66610.53
Austria,GDP per capita,44141.3,66211.95
Belgium,GDP per capita,40838.06,61257.09
Canada,GDP per capita,42114.49,63171.735
Denmark,GDP per capita,42787.23,64180.845
Finland,GDP per capita,39130.04,58695.06
France,GDP per capita,36932.83,55399.245
Germany,GDP per capita,42682.16,64023.24
Greece,GDP per capita,25585.7,38378.55
Iceland,GDP per capita,39096.54,58644.81
Ireland,GDP per capita,43802.59,65703.885
Italy,GDP per capita,34140.73,51211.095
Japan,GDP per capita,35481.64,53222.46
Luxembourg,GDP per capita,89417.04,134125.56
Netherlands,GDP per capita,43347.62,65021.43
New Zealand,GDP per capita,32847.38,49271.07
Norway,GDP per capita,66135.07,99202.605
Portugal,GDP per capita,25801.55,38702.325
Spain,GDP per capita,32550.74,48826.11
Sweden,GDP per capita,42874.26,64311.39
Switzerland,GDP per capita,53641.07,80461.605
Turkey,GDP per capita,18314.72,27472.08
United Kingdom,GDP per capita,35670.57,53505.855
United States,GDP per capita,51688.63,77532.945
Australia,Health expenditures,8.9,13.35
